name_en,name_ar,id,category
Egyptian Kuwaiti Holding,القابضة المصرية الكويتية,EGS69082C013,Non-bank financial services
Egyptian Kuwaiti Holding-EGP,القابضة المصرية الكويتية بالجنية,EGS69081C023,Non-bank financial services
Egyptian Media Production City,المصريه لمدينة الانتاج الاعلامى,EGS78021C010,"IT , Media & Communication Services"
Egyptian Real Estate Group,المجموعه المصريه العقاريه,EGS65211C012,Real Estate
Egyptian Satellites (NileSat),المصرية للأقمار الصناعية (نايل سات),EGS48022C015,"IT , Media & Communication Services"
Egyptian Transport (EGYTRANS),المصرية لخدمات النقل (ايجيترانس),EGS42051C010,Shipping & Transportation Services
Egyptian for Tourism Resorts,المصرية للمنتجعات السياحية,EGS70431C019,Travel & Leisure
Egyptians For Investment & Urban Development,المصريين للاستثمار والتنمية العمرانية,EGS213S1C010,Contracting & Construction Engineering
Egyptians Housing Development & Reconstruction,المصريين للاسكان والتنمية والتعمير,EGS65341C017,Real Estate
Egyptians Real Estate Fund Certificates,وثائق شركة صندوق استثمار المصريين للاستثمار العقارى,EGS694B1C017,Non-bank financial services
El Ahli Investment and Development,الاهلي للتنمية والاستثمار,EGS69021C011,Non-bank financial services
El Ahram Co. For Printing And Packing,الاهرام للطباعة و التغليف,EGS360A1C011,Paper & Packaging
El Arabia Engineering Industries,العربية للصناعات الهندسية,EGS3G111C015,"Industrial Goods , Services and Automobiles"
El Arabia for Land Reclamation,العربية لاستصلاح الاراضي,EGS65771C015,Contracting & Construction Engineering
El Ezz Porcelain (Gemma),العز للسيراميك و البورسلين - الجوهره,EGS3C071C015,Building Materials
El Kahera El Watania Investment,القاهرة الوطنية للاستثمار والاوراق المالية,EGS69011C012,Non-bank financial services
El Kahera Housing,القاهرة للاسكان والتعمير,EGS65071C010,Real Estate
El Nasr Clothes & Textiles (Kabo),النصر للملابس والمنسوجات - كابو,EGS33061C010,Textile & Durables
El Nasr For Manufacturing Agricultural Crops,النصر لتصنيع الحاصلات الزراعية,EGS300L1C011,"Food, Beverages and Tobacco"
El Obour Real Estate Investment,العبور للاستثمار العقارى,EGS65551C011,Real Estate
El Orouba Securities Brokerage,العروبة للسمسرة فى الأوراق المالية,EGS681I1C015,Non-bank financial services
El Shams Housing & Urbanization,الشمس للاسكان والتعمير,EGS65091C018,Real Estate
